Title,Body,Labels,Epic,Type,Estimate,Status
T0.1 Repo + tooling bootstrap (React + Vite, JS),"Initialize Vite React (JavaScript) app, clean default template, add folder structure. Acceptance: App runs locally with npm run dev; Routes stubbed: /, /admin/login, /admin, /apf; app/public/logo.png renders in header.","setup,frontend,chore","Epic 0: Project setup + foundations",Chore,"2–4h",Todo
T0.2 Environment + config strategy,"Add .env pattern for Google API keys, sheet IDs, and pin/password configs (dev only). Acceptance: No secrets committed; App reads config from env with safe local fallbacks.","setup,config,chore","Epic 0: Project setup + foundations",Chore,"2–4h",Todo
T0.3 UI system: colors.js single source of truth,"Create src/utils/colors.js and refactor styles to import from it only. Acceptance: Palette matches spec; No hardcoded hex colors remain.","frontend,ui,feature","Epic 0: Project setup + foundations",Feature,"1–2h",Todo
T0.4 Icons + base styling,"Install and wire Font Awesome React icons; establish base typography and dark theme defaults. Acceptance: FA icons usable; Text white; Dark purple theme applied.","frontend,ui,chore","Epic 0: Project setup + foundations",Chore,"1–2h",Todo
T1.1 Global layout shell + top glass nav,"Build fixed top nav with logo left and APF button right using glass morphism. Acceptance: Nav persists; Logo loads; APF button visible on all pages.","frontend,layout,feature","Epic 1: Global layout + navigation",Feature,"4–6h",Todo
T1.2 Glass component primitives,"Create reusable GlassCard, GlassInput, GlassSelect, GlassCheckbox, GlassButton, Modal. Acceptance: Consistent spacing/blur; Accessible inputs.","frontend,ui,feature","Epic 1: Global layout + navigation",Feature,"4–6h",Todo
T2.1 Define Google Sheets column schema + mapping,"Define canonical sheet column schema and frontend mapping. Acceptance: Columns documented in README; Frontend state matches 1:1.","backend,data,feature","Epic 2: Data model + Google Sheets contract",Feature,"4–6h",Todo
T2.2 Google API approach + backend decision,"Decide and document secure read/write approach. Recommended: Google Apps Script Web App. Acceptance: Architecture doc; No Google creds in browser.","backend,architecture,spike","Epic 2: Data model + Google Sheets contract","Spike / Architecture","4–8h",Todo
T2.3 Implement Google Apps Script API (Sheets CRUD-lite),"Build endpoints: upsertHold, finalizeSignatures, listHold, listSigned, search, record. Acceptance: Sheet updates correctly; CORS handled; Admin auth enforced.","backend,google-sheets,feature","Epic 2: Data model + Google Sheets contract",Feature,"1–2 days",Todo
T2.4 Frontend API client + error handling,"Create src/api/sheetsApi.js wrapper with validation and error UX. Acceptance: All calls centralized; Friendly errors and retry.","frontend,api,feature","Epic 2: Data model + Google Sheets contract",Feature,"4–8h",Todo
T3.1 Form state manager + draft persistence,"Central form state aligned to sheet columns with localStorage draft persistence. Acceptance: Refresh safe; Draft clearable.","frontend,form,feature","Epic 3: Form build (UX + validation)",Feature,"6–10h",Todo
T3.2 Identity block,"Build Name, Title, Worker ID, Training Worker ID logic with animation. Acceptance: Required validation; Training ID mirrors Worker ID when unchecked.","frontend,form,feature","Epic 3: Form build (UX + validation)",Feature,"4–6h",Todo
T3.3 Property acknowledgement block,"Checkboxes with conditional device name input. Acceptance: Boolean columns mapped; Device text column; Reveal animation.","frontend,form,feature","Epic 3: Form build (UX + validation)",Feature,"4–6h",Todo
T3.4 Device metadata block,"Optional Serial Number and Esper ID fields. Acceptance: Optional UI; Plain text storage.","frontend,form,feature","Epic 3: Form build (UX + validation)",Feature,"2–4h",Todo
T3.5 Exchange flow (conditional),"Conditional exchange checkbox with returning device name + serial. Acceptance: Stored in return_* columns; Clear separation.","frontend,form,feature","Epic 3: Form build (UX + validation)",Feature,"4–6h",Todo
T3.6 Agreement confirmation gate,"Three required agreement checkboxes gating progress. Acceptance: Cannot proceed without all checked; Subtle error UX.","frontend,form,feature","Epic 3: Form build (UX + validation)",Feature,"4–6h",Todo
T4.1 PIN modal component (4-digit),"Reusable PIN modal for Hold and APF access (PIN 1234). Acceptance: Keyboard-friendly; Basic lockout.","frontend,security,feature","Epic 4: Hold for signature + APF flow",Feature,"3–5h",Todo
T4.2 Hold for Signature button behavior,"PIN-gated hold flow that upserts HOLD record without signatures. Acceptance: status=HOLD; Success feedback; No signatures required.","frontend,backend,feature","Epic 4: Hold for signature + APF flow",Feature,"6–10h",Todo
T4.3 Duplicate prevention: HOLD upsert rules,"Server-side matching on name + worker_id for HOLD overwrite. Acceptance: Stable record_key; No duplicates.","backend,data,feature","Epic 4: Hold for signature + APF flow",Feature,"1 day",Todo
T4.4 APF page: list HOLD records,"PIN-gated list of HOLD records with search. Acceptance: Search by any param; Row loads form.","frontend,apf,feature","Epic 4: Hold for signature + APF flow",Feature,"6–10h",Todo
T4.5 Prefill form from HOLD record + edit flow,"Populate form from HOLD record and preserve record_key. Acceptance: Full prefill; Submission updates same row.","frontend,apf,feature","Epic 4: Hold for signature + APF flow",Feature,"6–10h",Todo
T5.1 Signature pad component (SVG only),"Build vector signature pad exporting SVG path strings only. Acceptance: Clear button; No image blobs.","frontend,signature,feature","Epic 5: Signature capture",Feature,"1 day",Todo
T5.2 Signature section UI,"Employee + Supervisor signature blocks with editable dates. Acceptance: Submit disabled until complete; Dates stored.","frontend,signature,feature","Epic 5: Signature capture",Feature,"6–10h",Todo
T5.3 Final submission updates HOLD → SIGNED,"Finalize signatures and update existing HOLD row. Acceptance: No new row; Status SIGNED; updated_at changes.","frontend,backend,feature","Epic 5: Signature capture",Feature,"6–10h",Todo
T6.1 Admin login page,"Admin login with universal credentials and session handling. Acceptance: Protected routes; Logout clears session.","admin,security,feature","Epic 6: Admin auth + admin table",Feature,"4–6h",Todo
T6.2 Admin page: searchable spreadsheet-style list,"Table of SIGNED (optional HOLD) with search, sort, pagination. Acceptance: Search any column; View/PDF action per row.","admin,table,feature","Epic 6: Admin auth + admin table",Feature,"1–2 days",Todo
T6.3 Record detail fetch for PDF view,"Admin record detail fetch for PDF generation. Acceptance: Correct data; Handles missing fields.","admin,feature","Epic 6: Admin auth + admin table",Feature,"4–6h",Todo
T7.1 PDF template design (letter format),"Design print-ready PDF with logo, sections, vector signatures, footer address. Acceptance: Cross-browser; No raster sigs.","pdf,feature","Epic 7: PDF generation",Feature,"1 day",Todo
T7.2 Admin Generate PDF + Print,"Row action to generate PDF and print. Acceptance: Browser print dialog; Filename includes name + date.","pdf,admin,feature","Epic 7: PDF generation",Feature,"6–10h",Todo
T7.3 Data formatting rules in PDF,"Conditional rendering of optional fields and checkbox display. Acceptance: No empty sections; Labels match dropdowns.","pdf,feature","Epic 7: PDF generation",Feature,"4–6h",Todo
T8.1 Dashboard metrics,"Dashboard with signed agreement count and Esper ID quick view. Acceptance: Accurate metrics; Handles empty state.","dashboard,feature","Epic 8: Dashboard",Feature,"6–10h",Todo
T8.2 Dashboard filters,"Filters by date range, title, device, exchange flag. Acceptance: Filters sync across views.","dashboard,feature","Epic 8: Dashboard",Feature,"6–10h",Todo
T9.1 Form validation + edge cases,"Validate numeric IDs, training logic, agreements, signatures. Acceptance: Clear errors; No invalid writes.","qa,feature","Epic 9: QA and hardening",Feature,"1 day",Todo
T9.2 Accessibility pass,"ARIA labels, focus traps, keyboard nav, contrast checks. Acceptance: Mouse-free usability; Modal focus trap.","accessibility,chore","Epic 9: QA and hardening",Chore,"4–8h",Todo
T9.3 Logging + monitoring hooks,"Minimal client logging and Apps Script server logs. Acceptance: Debuggable failures; No excess PII.","logging,chore","Epic 9: QA and hardening",Chore,"4–8h",Todo
T9.4 Deployment + runtime config,"Deploy SPA and Apps Script; document steps. Acceptance: Prod live; Admin/API functional.","deploy,chore","Epic 9: QA and hardening",Chore,"4–8h",Todo
T10.1 README: setup + sheet schema + operations,"Document env vars, schema, Apps Script deploy, admin creds + pin. Acceptance: New dev runs locally <15 min.","docs,chore","Epic 10: Documentation + handoff",Chore,"4–6h",Todo
T10.2 QA checklist + release notes,"Provide test checklist and versioned release notes. Acceptance: Covers hold/APF, duplicates, PDF, admin auth.","docs,chore","Epic 10: Documentation + handoff",Chore,"2–4h",Todo
